engine_name,display_name,distance_m,i_have_kevlar,p_win_vs_ak
cz75a,CZ75-Auto,20.0,True,0.0004
cz75a,CZ75-Auto,20.0,False,0.00030000000000000003
cz75a,CZ75-Auto,25.0,True,0.0024
cz75a,CZ75-Auto,25.0,False,0.0
cz75a,CZ75-Auto,30.0,True,0.0008
cz75a,CZ75-Auto,30.0,False,0.0002
cz75a,CZ75-Auto,40.0,True,0.0152
cz75a,CZ75-Auto,40.0,False,0.0029
deagle,Desert Eagle,2.5,True,0.0
deagle,Desert Eagle,2.5,False,0.0
deagle,Desert Eagle,5.0,True,0.0
deagle,Desert Eagle,5.0,False,0.0
deagle,Desert Eagle,7.5,True,0.0
deagle,Desert Eagle,7.5,False,0.0
deagle,Desert Eagle,10.0,True,0.0
deagle,Desert Eagle,10.0,False,0.0
deagle,Desert Eagle,12.5,True,0.0
deagle,Desert Eagle,12.5,False,0.0
deagle,Desert Eagle,15.0,True,0.0022
deagle,Desert Eagle,15.0,False,0.0001
deagle,Desert Eagle,20.0,True,0.014599999999999998
deagle,Desert Eagle,20.0,False,0.0028
deagle,Desert Eagle,25.0,True,0.0424
deagle,Desert Eagle,25.0,False,0.0063
deagle,Desert Eagle,30.0,True,0.23120000000000002
deagle,Desert Eagle,30.0,False,0.0845
deagle,Desert Eagle,40.0,True,0.1776
deagle,Desert Eagle,40.0,False,0.0819
elite,Dual Berettas,2.5,True,0.0
elite,Dual Berettas,2.5,False,0.0
elite,Dual Berettas,5.0,True,0.0
elite,Dual Berettas,5.0,False,0.0
elite,Dual Berettas,7.5,True,0.0
elite,Dual Berettas,7.5,False,0.0
elite,Dual Berettas,10.0,True,0.0
elite,Dual Berettas,10.0,False,0.0
elite,Dual Berettas,12.5,True,0.0008
elite,Dual Berettas,12.5,False,0.0
elite,Dual Berettas,15.0,True,0.0026
elite,Dual Berettas,15.0,False,0.0
elite,Dual Berettas,20.0,True,0.0024
elite,Dual Berettas,20.0,False,0.0002
elite,Dual Berettas,25.0,True,0.0004
elite,Dual Berettas,25.0,False,0.0004
elite,Dual Berettas,30.0,True,0.0052
elite,Dual Berettas,30.0,False,0.0006
elite,Dual Berettas,40.0,True,0.0171
elite,Dual Berettas,40.0,False,0.0034000000000000002
famas,FAMAS,2.5,True,0.0
famas,FAMAS,2.5,False,0.0
famas,FAMAS,5.0,True,0.0
famas,FAMAS,5.0,False,0.0
famas,FAMAS,7.5,True,0.0
famas,FAMAS,7.5,False,0.0
famas,FAMAS,10.0,True,0.0
famas,FAMAS,10.0,False,0.0
famas,FAMAS,12.5,True,0.1116
famas,FAMAS,12.5,False,0.0
famas,FAMAS,15.0,True,0.3556
famas,FAMAS,15.0,False,0.0596
famas,FAMAS,20.0,True,0.1106
famas,FAMAS,20.0,False,0.0244
famas,FAMAS,25.0,True,0.0846
famas,FAMAS,25.0,False,0.020700000000000003
famas,FAMAS,30.0,True,0.1431
famas,FAMAS,30.0,False,0.0503
famas,FAMAS,40.0,True,0.14909999999999998
famas,FAMAS,40.0,False,0.068
fiveseven,Five-SeveN,2.5,True,0.0
fiveseven,Five-SeveN,2.5,False,0.0
fiveseven,Five-SeveN,5.0,True,0.0
fiveseven,Five-SeveN,5.0,False,0.0
fiveseven,Five-SeveN,7.5,True,0.0
fiveseven,Five-SeveN,7.5,False,0.0
fiveseven,Five-SeveN,10.0,True,0.0
fiveseven,Five-SeveN,10.0,False,0.0
fiveseven,Five-SeveN,12.5,True,0.0002
fiveseven,Five-SeveN,12.5,False,0.0
fiveseven,Five-SeveN,15.0,True,0.0012
fiveseven,Five-SeveN,15.0,False,0.0
fiveseven,Five-SeveN,20.0,True,0.0008
fiveseven,Five-SeveN,20.0,False,0.0004
fiveseven,Five-SeveN,25.0,True,0.0002
fiveseven,Five-SeveN,25.0,False,0.0002
fiveseven,Five-SeveN,30.0,True,0.0022
fiveseven,Five-SeveN,30.0,False,0.0006
fiveseven,Five-SeveN,40.0,True,0.0168
fiveseven,Five-SeveN,40.0,False,0.0026
g3sg1,G3SG1,2.5,True,0.0
g3sg1,G3SG1,2.5,False,0.0
g3sg1,G3SG1,5.0,True,0.0
g3sg1,G3SG1,5.0,False,0.0
g3sg1,G3SG1,7.5,True,0.0
g3sg1,G3SG1,7.5,False,0.0
g3sg1,G3SG1,10.0,True,0.0
g3sg1,G3SG1,10.0,False,0.0
g3sg1,G3SG1,12.5,True,0.0132
g3sg1,G3SG1,12.5,False,0.0
g3sg1,G3SG1,15.0,True,0.2018
g3sg1,G3SG1,15.0,False,0.0292
g3sg1,G3SG1,20.0,True,1.0
g3sg1,G3SG1,20.0,False,0.4834
g3sg1,G3SG1,25.0,True,1.0
g3sg1,G3SG1,25.0,False,1.0
g3sg1,G3SG1,30.0,True,1.0
g3sg1,G3SG1,30.0,False,1.0
g3sg1,G3SG1,40.0,True,1.0
g3sg1,G3SG1,40.0,False,1.0
galilar,Galil AR,2.5,True,0.0
galilar,Galil AR,2.5,False,0.0
galilar,Galil AR,5.0,True,0.0
galilar,Galil AR,5.0,False,0.0
galilar,Galil AR,7.5,True,0.0
galilar,Galil AR,7.5,False,0.0
galilar,Galil AR,10.0,True,0.0
galilar,Galil AR,10.0,False,0.0
galilar,Galil AR,12.5,True,0.0636
galilar,Galil AR,12.5,False,0.0
galilar,Galil AR,15.0,True,0.167
galilar,Galil AR,15.0,False,0.0268
galilar,Galil AR,20.0,True,0.1176
galilar,Galil AR,20.0,False,0.0292
galilar,Galil AR,25.0,True,0.12
galilar,Galil AR,25.0,False,0.0402
galilar,Galil AR,30.0,True,0.1157
galilar,Galil AR,30.0,False,0.0436
galilar,Galil AR,40.0,True,0.1537
galilar,Galil AR,40.0,False,0.0732
glock,Glock-18,2.5,True,0.0
glock,Glock-18,2.5,False,0.0
glock,Glock-18,5.0,True,0.0
glock,Glock-18,5.0,False,0.0
glock,Glock-18,7.5,True,0.0
glock,Glock-18,7.5,False,0.0
glock,Glock-18,10.0,True,0.0
glock,Glock-18,10.0,False,0.0
glock,Glock-18,12.5,True,0.0
glock,Glock-18,12.5,False,0.0
glock,Glock-18,15.0,True,0.0
glock,Glock-18,15.0,False,0.0
glock,Glock-18,20.0,True,0.0
glock,Glock-18,20.0,False,0.0002
glock,Glock-18,25.0,True,0.0
glock,Glock-18,25.0,False,0.0002
glock,Glock-18,30.0,True,0.0008
glock,Glock-18,30.0,False,0.0
glock,Glock-18,40.0,True,0.0218
glock,Glock-18,40.0,False,0.004200000000000001
hkp2000,P2000,2.5,True,0.0
hkp2000,P2000,2.5,False,0.0
hkp2000,P2000,5.0,True,0.0
hkp2000,P2000,5.0,False,0.0
hkp2000,P2000,7.5,True,0.0
hkp2000,P2000,7.5,False,0.0
hkp2000,P2000,10.0,True,0.0
hkp2000,P2000,10.0,False,0.0
hkp2000,P2000,12.5,True,0.0
