engine_name,mode,display_name,category,price,kill_award,distance_m,vs_armored,hits_needed,expected_ttk,median_ttk,perfect_ttk,p_kill_1s,p_kill_2s,p_kill,first_hit_p,cadence_mult,interval_ms
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,10.0,True,5,1.2141,1.2,0.6,0.0,1.0,1.0,1.0,2.0,300
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,12.5,True,5,1.6395,1.5,0.6,0.0,0.7956,1.0,1.0,2.0,300
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,15.0,True,5,2.07864,1.7999999999999998,0.6,0.0,0.5666,1.0,1.0,3.0,450
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,20.0,True,5,3.7146,3.5999999999999996,0.6,0.0,0.0,1.0,0.8296,4.0,600
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,25.0,True,6,7.4958,7.199999999999999,0.75,0.0,0.0,0.9284,0.5628,4.0,600
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,30.0,True,6,10.038720000000001,10.799999999999999,0.75,0.0,0.0,0.58,0.381,4.0,600
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,40.0,True,7,11.93052,12.0,0.8999999999999999,0.0,0.0,0.0364,0.2172,4.0,600
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,2.5,False,4,0.45000000000000007,0.44999999999999996,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,150
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,5.0,False,4,0.45000000000000007,0.44999999999999996,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,150
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,7.5,False,4,0.4672200000000001,0.44999999999999996,0.44999999999999996,0.9952,1.0,1.0,1.0,1.0,150
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,10.0,False,4,0.8389359999999999,0.6,0.44999999999999996,0.7566,0.9568,1.0,1.0,1.0,150
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,12.5,False,4,1.21098,1.2,0.44999999999999996,0.4306,0.9534,1.0,1.0,2.0,300
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,15.0,False,5,2.07954,1.7999999999999998,0.6,0.0,0.5628,1.0,1.0,3.0,450
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,20.0,False,5,3.7399199999999997,3.5999999999999996,0.6,0.0,0.0,1.0,0.8342,4.0,600
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,25.0,False,5,6.22584,6.0,0.6,0.0,0.0,0.9724,0.5572,4.0,600
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,30.0,False,6,9.95268,10.799999999999999,0.75,0.0,0.0,0.5932,0.386,4.0,600
fiveseven,primary,Five-SeveN,Pistols,500.0,300.0,40.0,False,7,11.9238,12.0,0.8999999999999999,0.0,0.0,0.0376,0.222,4.0,600
glock,primary,Glock-18,Pistols,200.0,300.0,2.5,True,8,1.05,1.05,1.05,0.0,1.0,1.0,1.0,1.0,150
glock,primary,Glock-18,Pistols,200.0,300.0,5.0,True,8,1.0812300000000001,1.05,1.05,0.0,1.0,1.0,1.0,1.0,150
glock,primary,Glock-18,Pistols,200.0,300.0,7.5,True,8,1.5749999999999997,1.5749999999999997,1.05,0.0,1.0,1.0,1.0,1.5,225
glock,primary,Glock-18,Pistols,200.0,300.0,10.0,True,9,2.18727,2.025,1.2,0.0,0.2162,1.0,1.0,1.5,225
glock,primary,Glock-18,Pistols,200.0,300.0,12.5,True,9,2.4305399999999993,2.4,1.2,0.0,0.0,1.0,1.0,2.0,300
glock,primary,Glock-18,Pistols,200.0,300.0,15.0,True,9,2.9686199999999996,3.0,1.2,0.0,0.0,1.0,1.0,2.0,300
glock,primary,Glock-18,Pistols,200.0,300.0,20.0,True,10,4.20381,4.05,1.3499999999999999,0.0,0.0,1.0,1.0,3.0,450
glock,primary,Glock-18,Pistols,200.0,300.0,25.0,True,10,5.429028,5.3999999999999995,1.3499999999999999,0.0,0.0,1.0,0.9824,3.0,450
glock,primary,Glock-18,Pistols,200.0,300.0,30.0,True,11,8.0196,7.8,1.5,0.0,0.0,0.992,0.856,4.0,600
glock,primary,Glock-18,Pistols,200.0,300.0,40.0,True,12,11.76036,12.0,1.65,0.0,0.0,0.158,0.5592,4.0,600
glock,primary,Glock-18,Pistols,200.0,300.0,2.5,False,4,0.45000000000000007,0.44999999999999996,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,150
glock,primary,Glock-18,Pistols,200.0,300.0,5.0,False,4,0.45000000000000007,0.44999999999999996,0.44999999999999996,1.0,1.0,1.0,1.0,1.0,150
glock,primary,Glock-18,Pistols,200.0,300.0,7.5,False,4,0.549784,0.44999999999999996,0.44999999999999996,0.9534,0.9984,1.0,1.0,1.0,150
glock,primary,Glock-18,Pistols,200.0,300.0,10.0,False,4,0.77895,0.6749999999999999,0.44999999999999996,0.9056,1.0,1.0,1.0,1.5,225
glock,primary,Glock-18,Pistols,200.0,300.0,12.5,False,4,0.9087000000000002,0.8999999999999999,0.44999999999999996,0.9712,1.0,1.0,1.0,2.0,300
glock,primary,Glock-18,Pistols,200.0,300.0,15.0,False,5,1.4691,1.5,0.6,0.0,0.913,1.0,1.0,2.0,300
glock,primary,Glock-18,Pistols,200.0,300.0,20.0,False,5,1.8636300000000003,1.7999999999999998,0.6,0.0,0.8702,1.0,1.0,3.0,450
glock,primary,Glock-18,Pistols,200.0,300.0,25.0,False,5,2.4258599999999997,2.25,0.6,0.0,0.2994,1.0,0.98,3.0,450
glock,primary,Glock-18,Pistols,200.0,300.0,30.0,False,5,3.2764799999999994,3.0,0.6,0.0,0.0,1.0,0.869,4.0,600
glock,primary,Glock-18,Pistols,200.0,300.0,40.0,False,6,7.16052,6.8999999999999995,0.75,0.0,0.0,0.9534,0.554,4.0,600
hkp2000,primary,P2000,Pistols,200.0,300.0,2.5,True,6,0.8499999999999999,0.8500000000000001,0.8500000000000001,1.0,1.0,1.0,1.0,1.0,170
hkp2000,primary,P2000,Pistols,200.0,300.0,5.0,True,6,0.8499999999999999,0.8500000000000001,0.8500000000000001,1.0,1.0,1.0,1.0,1.0,170
hkp2000,primary,P2000,Pistols,200.0,300.0,7.5,True,6,1.2750000000000001,1.275,0.8500000000000001,0.0,1.0,1.0,1.0,1.5,255
hkp2000,primary,P2000,Pistols,200.0,300.0,10.0,True,7,1.5542759999999998,1.53,1.02,0.0,0.9956,1.0,1.0,1.5,255
hkp2000,primary,P2000,Pistols,200.0,300.0,12.5,True,7,2.039999999999999,2.04,1.02,0.0,0.0,1.0,1.0,2.0,340
hkp2000,primary,P2000,Pistols,200.0,300.0,15.0,True,7,2.1150719999999996,2.04,1.02,0.0,0.0,1.0,1.0,2.0,340
hkp2000,primary,P2000,Pistols,200.0,300.0,20.0,True,7,3.0613259999999993,3.06,1.02,0.0,0.0,1.0,1.0,3.0,510
hkp2000,primary,P2000,Pistols,200.0,300.0,25.0,True,7,3.4416279999999997,3.5700000000000003,1.02,0.0,0.0,1.0,0.9996,3.0,510
hkp2000,primary,P2000,Pistols,200.0,300.0,30.0,True,8,5.460857999999999,5.1,1.1900000000000002,0.0,0.0,0.999,0.941,3.0,510
hkp2000,primary,P2000,Pistols,200.0,300.0,40.0,True,8,8.975558,8.16,1.1900000000000002,0.0,0.0,0.8066,0.712,4.0,680
hkp2000,primary,P2000,Pistols,200.0,300.0,2.5,False,3,0.33999999999999997,0.34,0.34,1.0,1.0,1.0,1.0,1.0,170
hkp2000,primary,P2000,Pistols,200.0,300.0,5.0,False,3,0.33999999999999997,0.34,0.34,1.0,1.0,1.0,1.0,1.0,170
hkp2000,primary,P2000,Pistols,200.0,300.0,7.5,False,4,0.686836,0.68,0.51,0.867,0.9988,1.0,1.0,1.0,170
hkp2000,primary,P2000,Pistols,200.0,300.0,10.0,False,4,0.7720889999999999,0.765,0.51,0.9726,1.0,1.0,1.0,1.5,255
hkp2000,primary,P2000,Pistols,200.0,300.0,12.5,False,4,1.0090860000000001,1.02,0.51,0.455,0.986,1.0,1.0,1.5,255
hkp2000,primary,P2000,Pistols,200.0,300.0,15.0,False,4,1.0555639999999997,1.02,0.51,0.0,0.9994,1.0,1.0,2.0,340
hkp2000,primary,P2000,Pistols,200.0,300.0,20.0,False,4,1.5302039999999997,1.53,0.51,0.0,0.9996,1.0,1.0,3.0,510
hkp2000,primary,P2000,Pistols,200.0,300.0,25.0,False,4,1.7243099999999998,1.53,0.51,0.0,0.6992,1.0,1.0,3.0,510
hkp2000,primary,P2000,Pistols,200.0,300.0,30.0,False,4,2.231954,2.04,0.51,0.0,0.3228,1.0,0.9474,3.0,510
hkp2000,primary,P2000,Pistols,200.0,300.0,40.0,False,4,3.8136619999999994,3.4000000000000004,0.51,0.0,0.0,0.9982,0.6794,4.0,680
usp_silencer,primary,USP-S,Pistols,200.0,300.0,2.5,True,6,0.8499999999999999,0.8500000000000001,0.8500000000000001,1.0,1.0,1.0,1.0,1.0,170
usp_silencer,primary,USP-S,Pistols,200.0,300.0,5.0,True,6,0.8499999999999999,0.8500000000000001,0.8500000000000001,1.0,1.0,1.0,1.0,1.0,170
usp_silencer,primary,USP-S,Pistols,200.0,300.0,7.5,True,6,1.2750000000000001,1.275,0.8500000000000001,0.0,1.0,1.0,1.0,1.5,255
usp_silencer,primary,USP-S,Pistols,200.0,300.0,10.0,True,7,1.5299999999999996,1.53,1.02,0.0,1.0,1.0,1.0,1.5,255
usp_silencer,primary,USP-S,Pistols,200.0,300.0,12.5,True,7,1.6963620000000004,1.53,1.02,0.0,0.8516,1.0,1.0,1.5,255
usp_silencer,primary,USP-S,Pistols,200.0,300.0,15.0,True,7,2.039999999999999,2.04,1.02,0.0,0.0,1.0,1.0,2.0,340
usp_silencer,primary,USP-S,Pistols,200.0,300.0,20.0,True,7,2.3647299999999998,2.3800000000000003,1.02,0.0,0.0,1.0,1.0,2.0,340
usp_silencer,primary,USP-S,Pistols,200.0,300.0,25.0,True,7,3.0959039999999995,3.06,1.02,0.0,0.0,1.0,1.0,3.0,510
usp_silencer,primary,USP-S,Pistols,200.0,300.0,30.0,True,8,4.043854,4.08,1.1900000000000002,0.0,0.0,1.0,0.9838,3.0,510
usp_silencer,primary,USP-S,Pistols,200.0,300.0,40.0,True,8,6.5908,5.61,1.1900000000000002,0.0,0.0,0.9948,0.7986,3.0,510
usp_silencer,primary,USP-S,Pistols,200.0,300.0,2.5,False,3,0.33999999999999997,0.34,0.34,1.0,1.0,1.0,1.0,1.0,170
usp_silencer,primary,USP-S,Pistols,200.0,300.0,5.0,False,3,0.33999999999999997,0.34,0.34,1.0,1.0,1.0,1.0,1.0,170
usp_silencer,primary,USP-S,Pistols,200.0,300.0,7.5,False,4,0.6773759999999999,0.68,0.51,0.8858,0.999,1.0,1.0,1.0,170
usp_silencer,primary,USP-S,Pistols,200.0,300.0,10.0,False,4,0.7649999999999998,0.765,0.51,1.0,1.0,1.0,1.0,1.5,255
usp_silencer,primary,USP-S,Pistols,200.0,300.0,12.5,False,4,0.8371649999999999,0.765,0.51,0.7698,0.9998,1.0,1.0,1.5,255
usp_silencer,primary,USP-S,Pistols,200.0,300.0,15.0,False,4,1.0199999999999996,1.02,0.51,0.0,1.0,1.0,1.0,2.0,340
usp_silencer,primary,USP-S,Pistols,200.0,300.0,20.0,False,4,1.1799359999999999,1.02,0.51,0.0,0.977,1.0,1.0,2.0,340
usp_silencer,primary,USP-S,Pistols,200.0,300.0,25.0,False,4,1.5491759999999997,1.53,0.51,0.0,0.9636,1.0,1.0,3.0,510
usp_silencer,primary,USP-S,Pistols,200.0,300.0,30.0,False,4,1.7257379999999998,1.53,0.51,0.0,0.699,1.0,0.984,3.0,510
usp_silencer,primary,USP-S,Pistols,200.0,300.0,40.0,False,4,2.591456,2.55,0.51,0.0,0.2066,1.0,0.8,3.0,510
p250,primary,P250,Pistols,300.0,300.0,2.5,True,5,0.6,0.6,0.6,1.0,1.0,1.0,1.0,1.0,150
p250,primary,P250,Pistols,300.0,300.0,5.0,True,5,0.7069799999999999,0.6,0.6,0.9362,1.0,1.0,1.0,1.0,150
p250,primary,P250,Pistols,300.0,300.0,7.5,True,5,0.9757800000000001,0.8999999999999999,0.6,0.732,0.9998,1.0,1.0,1.5,225
p250,primary,P250,Pistols,300.0,300.0,10.0,True,5,1.2654599999999998,1.2,0.6,0.0,0.9964,1.0,1.0,2.0,300
p250,primary,P250,Pistols,300.0,300.0,12.5,True,5,1.8006300000000004,1.7999999999999998,0.6,0.0,0.9986,1.0,1.0,3.0,450
p250,primary,P250,Pistols,300.0,300.0,15.0,True,5,2.03526,1.7999999999999998,0.6,0.0,0.6104,1.0,1.0,3.0,450
p250,primary,P250,Pistols,300.0,300.0,20.0,True,5,3.5153799999999995,3.5999999999999996,0.6,0.0,0.0,1.0,0.8342,4.0,600
p250,primary,P250,Pistols,300.0,300.0,25.0,True,6,7.801507999999998,6.6,0.75,0.0,0.0,0.8868,0.5496,4.0,600
p250,primary,P250,Pistols,300.0,300.0,30.0,True,6,10.468755999999999,12.0,0.75,0.0,0.0,0.4936,0.3868,4.0,600
p250,primary,P250,Pistols,300.0,300.0,40.0,True,6,11.841738000000001,12.0,0.75,0.0,0.0,0.0724,0.2102,4.0,600
p250,primary,P250,Pistols,300.0,300.0,2.5,False,3,0.3,0.3,0.3,1.0,1.0,1.0,1.0,1.0,150
p250,primary,P250,Pistols,300.0,300.0,5.0,False,3,0.31647,0.3,0.3,1.0,1.0,1.0,1.0,1.0,150
p250,primary,P250,Pistols,300.0,300.0,7.5,False,3,0.46606500000000006,0.44999999999999996,0.3,0.999,1.0,1.0,1.0,1.5,225
p250,primary,P250,Pistols,300.0,300.0,10.0,False,3,0.6245999999999999,0.6,0.3,0.995,1.0,1.0,1.0,2.0,300
p250,primary,P250,Pistols,300.0,300.0,12.5,False,3,0.9003600000000003,0.8999999999999999,0.3,0.9992,1.0,1.0,1.0,3.0,450
p250,primary,P250,Pistols,300.0,300.0,15.0,False,3,1.0179900000000002,0.8999999999999999,0.3,0.7826,0.9938,1.0,1.0,3.0,450
p250,primary,P250,Pistols,300.0,300.0,20.0,False,4,2.697736,2.4,0.44999999999999996,0.0,0.2974,1.0,0.8266,4.0,600
p250,primary,P250,Pistols,300.0,300.0,25.0,False,4,4.691356,4.2,0.44999999999999996,0.0,0.0542,0.9854,0.5584,4.0,600
p250,primary,P250,Pistols,300.0,300.0,30.0,False,4,7.235144,6.6,0.44999999999999996,0.0,0.0152,0.8456,0.3976,4.0,600
p250,primary,P250,Pistols,300.0,300.0,40.0,False,4,10.57415,12.0,0.44999999999999996,0.0,0.0018,0.3762,0.2188,4.0,600
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,2.5,True,5,0.39999999999999997,0.4,0.4,1.0,1.0,1.0,1.0,1.0,100
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,5.0,True,5,0.40219999999999995,0.4,0.4,1.0,1.0,1.0,1.0,1.0,100
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,7.5,True,5,0.69435,0.6000000000000001,0.4,0.9542,1.0,1.0,1.0,1.5,150
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,10.0,True,5,0.98692,1.0,0.4,0.752,0.9992,1.0,1.0,2.0,200
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,12.5,True,5,1.3436400000000002,1.2000000000000002,0.4,0.0,0.9796,1.0,1.0,3.0,300
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,15.0,True,6,2.365772,2.1000000000000005,0.5,0.0,0.3422,1.0,0.9472,3.0,300
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,20.0,True,6,5.082374000000001,4.0,0.5,0.0,0.022,0.9988,0.6496,4.0,400
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,25.0,True,6,8.765548,9.23,0.5,0.0,0.001,0.839,0.4176,4.0,400
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,30.0,True,7,11.416544,12.0,0.6000000000000001,0.0,0.0,0.287,0.2894,4.0,400
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,40.0,True,7,11.969170000000002,12.0,0.6000000000000001,0.0,0.0,0.023,0.1746,4.0,400
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,2.5,False,4,0.3,0.30000000000000004,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,100
cz75a,primary,CZ75-Auto,Pistols,500.0,300.0,5.0,False,4,0.3,0.30000000000000004,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,100
